artist,track,date_entered,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52,wk53,wk54,wk55,wk56,wk57,wk58,wk59,wk60,wk61,wk62,wk63,wk64,wk65,wk66,wk67,wk68,wk69,wk70,wk71,wk72,wk73,wk74,wk75,wk76
Destiny's Child,Jumpin' Jumpin',2000-05-13,74,71.0,65.0,62.0,57.0,50.0,40.0,37.0,22.0,18.0,13.0,8.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,6.0,8.0,10.0,15.0,24.0,30.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Say My Name,1999-12-25,83,83.0,44.0,38.0,16.0,13.0,16.0,16.0,16.0,18.0,17.0,14.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,10.0,13.0,14.0,18.0,23.0,23.0,34.0,37.0,43.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diffie, Joe",It's Always Somethin...,2000-08-12,81,78.0,67.0,63.0,60.0,57.0,63.0,69.0,78.0,85.0,92.0,92.0,,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diffie, Joe",The Quittin' Kind,2000-01-01,98,100.0,100.0,90.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dion, Celine",That's The Way It Is,1999-11-13,74,68.0,65.0,49.0,44.0,34.0,30.0,30.0,17.0,14.0,11.0,8.0,9.0,10.0,11.0,11.0,6.0,8.0,7.0,7.0,9.0,10.0,14.0,16.0,26.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cold Day In July,2000-06-24,80,79.0,76.0,72.0,68.0,68.0,65.0,70.0,84.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cowboy Take Me Away,1999-11-27,79,72.0,70.0,61.0,52.0,52.0,52.0,39.0,31.0,27.0,27.0,27.0,31.0,37.0,40.0,47.0,51.0,56.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Goodbye Earl,2000-03-18,40,29.0,24.0,24.0,20.0,20.0,20.0,19.0,38.0,61.0,86.0,88.0,96.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Without You,2000-10-07,80,70.0,63.0,56.0,50.0,49.0,48.0,46.0,41.0,40.0,35.0,31.0,33.0,44.0,36.0,35.0,37.0,43.0,51.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,Forgot About Dre,2000-01-22,75,55.0,47.0,36.0,36.0,30.0,30.0,31.0,26.0,25.0,25.0,26.0,26.0,28.0,34.0,47.0,58.0,68.0,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,The Next Episode,2000-05-27,78,67.0,58.0,53.0,46.0,41.0,32.0,27.0,26.0,23.0,26.0,27.0,32.0,32.0,44.0,46.0,47.0,50.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,"Left, Right, Left",2000-02-12,100,98.0,89.0,80.0,75.0,73.0,80.0,86.0,91.0,96.0,100.0,98.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream,He Loves U Not,2000-09-30,99,92.0,81.0,59.0,47.0,42.0,32.0,27.0,18.0,18.0,11.0,8.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,11.0,10.0,19.0,23.0,28.0,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastsidaz, The",G'D Up,2000-01-08,77,77.0,89.0,64.0,57.0,47.0,47.0,55.0,65.0,69.0,83.0,82.0,90.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastsidaz, The",Got Beef,2000-07-01,99,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiffel 65,Blue,1999-12-11,67,29.0,16.0,16.0,13.0,11.0,9.0,6.0,7.0,9.0,13.0,19.0,21.0,24.0,32.0,42.0,56.0,60.0,76.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Missy ""Misdemeanor""",Hot Boyz,1999-11-27,36,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,Stan,2000-11-04,78,67.0,57.0,57.0,51.0,51.0,51.0,57.0,55.0,70.0,69.0,77.0,88.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Real Slim Shady,2000-05-06,70,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Way I Am,2000-08-26,87,74.0,59.0,65.0,59.0,58.0,59.0,62.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En Vogue,Riddle,2000-06-17,92,92.0,97.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estefan, Gloria",No Me Dejes De Quere...,2000-06-10,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, Sara",Born To Fly,2000-10-21,77,71.0,64.0,57.0,55.0,51.0,46.0,44.0,36.0,39.0,34.0,46.0,44.0,36.0,42.0,53.0,58.0,74.0,81.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,Got It All,2000-07-15,89,88.0,88.0,91.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,Love Is Blind,2000-01-08,94,91.0,57.0,46.0,46.0,40.0,34.0,39.0,42.0,46.0,50.0,59.0,66.0,78.0,87.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everclear,Wonderful,2000-07-08,77,69.0,53.0,37.0,33.0,25.0,24.0,23.0,22.0,25.0,28.0,25.0,11.0,13.0,13.0,11.0,18.0,28.0,36.0,39.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabian, Lara",I Will Love Again,2000-06-10,91,80.0,75.0,61.0,60.0,52.0,45.0,40.0,36.0,32.0,37.0,45.0,68.0,80.0,80.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatboy Slim,The Rockafeller Skan...,1999-11-13,94,94.0,94.0,87.0,77.0,77.0,83.0,82.0,82.0,92.0,76.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Take A Picture,1999-11-27,91,74.0,64.0,52.0,38.0,38.0,34.0,31.0,21.0,19.0,12.0,13.0,15.0,20.0,19.0,22.0,23.0,24.0,31.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foo Fighters,Learn To Fly,1999-10-16,80,69.0,68.0,63.0,60.0,52.0,42.0,32.0,30.0,25.0,22.0,22.0,26.0,20.0,19.0,20.0,26.0,30.0,35.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragma,Toca's Miracle,2000-10-28,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funkmaster Flex,Do You,2000-11-11,92,92.0,95.0,91.0,91.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostface Killah,Cherchez LaGhost,2000-08-05,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gill, Vince",Feels Like Love,2000-09-02,82,76.0,74.0,73.0,73.0,65.0,59.0,58.0,54.0,54.0,53.0,52.0,55.0,52.0,57.0,76.0,91.0,99.0,,91.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilman, Billy",One Voice,2000-06-17,86,86.0,82.0,72.0,65.0,56.0,56.0,55.0,44.0,44.0,43.0,38.0,40.0,44.0,61.0,77.0,85.0,95.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,None Of Ur Friends B...,1999-12-11,94,84.0,71.0,71.0,60.0,63.0,48.0,48.0,48.0,55.0,64.0,71.0,85.0,85.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,The Best Man I Can B...,2000-01-08,97,97.0,83.0,94.0,84.0,88.0,85.0,82.0,77.0,77.0,85.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goo Goo Dolls,Broadway,2000-04-22,74,58.0,53.0,42.0,35.0,31.0,29.0,25.0,29.0,26.0,24.0,33.0,46.0,48.0,57.0,62.0,74.0,82.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Macy",I Try,2000-02-19,68,51.0,47.0,36.0,30.0,20.0,15.0,12.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,10.0,11.0,14.0,16.0,16.0,16.0,21.0,27.0,34.0,40.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griggs, Andy",She's More,2000-03-11,81,76.0,69.0,67.0,62.0,55.0,52.0,51.0,51.0,48.0,47.0,43.0,42.0,37.0,41.0,50.0,69.0,73.0,77.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy,Dancin',1999-12-18,46,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson,This Time Around,2000-04-22,22,22.0,20.0,45.0,87.0,71.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hart, Beth",L.A. Song,1999-11-27,99,100.0,98.0,99.0,99.0,99.0,98.0,90.0,99.0,97.0,91.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heatherly, Eric",Flowers On The Wall,2000-04-29,95,88.0,88.0,82.0,82.0,77.0,72.0,67.0,65.0,65.0,65.0,60.0,60.0,53.0,51.0,50.0,57.0,77.0,83.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley, Don",Taking You Home,2000-06-24,79,77.0,74.0,73.0,66.0,62.0,58.0,58.0,61.0,68.0,71.0,71.0,79.0,83.0,85.0,87.0,83.0,90.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herndon, Ty",No Mercy,2000-03-18,100,99.0,99.0,,,98.0,94.0,92.0,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Breathe,1999-11-06,81,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Let's Make Love,2000-08-12,83,83.0,73.0,73.0,67.0,60.0,60.0,60.0,57.0,55.0,54.0,69.0,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoku,Another Dumb Blonde,2000-02-19,69,49.0,49.0,34.0,34.0,34.0,30.0,27.0,36.0,41.0,53.0,56.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollister, Dave",Can't Stay,2000-03-25,84,84.0,93.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Boys,I Need A Hot Girl,2000-02-19,77,75.0,71.0,65.0,65.0,70.0,69.0,77.0,79.0,90.0,92.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",Could I Have This Ki...,2000-06-17,74,68.0,68.0,67.0,59.0,59.0,60.0,52.0,54.0,56.0,59.0,70.0,69.0,81.0,87.0,95.0,98.0,100.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",I Learned From The B...,2000-02-19,83,83.0,83.0,40.0,28.0,27.0,28.0,36.0,53.0,73.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",My Love Is Your Love,1999-09-04,81,68.0,44.0,16.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,10.0,10.0,11.0,20.0,22.0,27.0,34.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney","Same Script, Differe...",2000-06-17,71,71.0,71.0,71.0,70.0,75.0,77.0,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMx,Stay The Night,1999-10-09,84,61.0,45.0,43.0,40.0,38.0,36.0,31.0,34.0,34.0,40.0,36.0,36.0,23.0,41.0,62.0,70.0,71.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cube,You Can Do It,1999-12-04,86,66.0,50.0,42.0,42.0,40.0,35.0,46.0,45.0,54.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal,Whatever,2000-06-10,75,75.0,67.0,73.0,64.0,56.0,54.0,54.0,54.0,48.0,47.0,50.0,60.0,68.0,73.0,81.0,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Be With You,2000-04-01,63,45.0,34.0,23.0,17.0,12.0,9.0,8.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,11.0,14.0,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Rhythm Divine,1999-12-04,90,84.0,79.0,67.0,67.0,39.0,33.0,32.0,38.0,38.0,49.0,51.0,61.0,61.0,66.0,88.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Shin,One Night Stand,1999-12-25,96,96.0,69.0,74.0,72.0,62.0,49.0,45.0,38.0,34.0,38.0,45.0,47.0,58.0,68.0,88.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja Rule,Between Me And You,2000-09-16,85,74.0,61.0,37.0,27.0,22.0,22.0,16.0,14.0,11.0,11.0,14.0,17.0,18.0,18.0,21.0,30.0,30.0,42.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",It Must Be Love,2000-06-24,76,74.0,68.0,63.0,57.0,49.0,44.0,39.0,39.0,38.0,37.0,37.0,40.0,47.0,62.0,64.0,75.0,80.0,84.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",Pop A Top,1999-11-13,79,73.0,70.0,64.0,63.0,57.0,55.0,55.0,63.0,52.0,43.0,47.0,55.0,78.0,95.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",www.memory,2000-11-04,75,59.0,59.0,54.0,50.0,49.0,47.0,45.0,49.0,69.0,63.0,67.0,77.0,89.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,He Can't Love U,1999-12-11,54,32.0,17.0,17.0,15.0,18.0,18.0,18.0,18.0,25.0,24.0,24.0,26.0,33.0,44.0,51.0,53.0,65.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,Let's Get Married,2000-05-06,77,66.0,55.0,45.0,38.0,42.0,33.0,29.0,28.0,26.0,23.0,15.0,11.0,14.0,14.0,17.0,20.0,20.0,21.0,23.0,24.0,29.0,36.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,Doesn't Really Matte...,2000-06-17,59,52.0,43.0,30.0,29.0,22.0,15.0,10.0,10.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0,20.0,25.0,37.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Anything,2000-02-26,72,58.0,55.0,55.0,63.0,74.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Big Pimpin',2000-04-22,69,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Do It Again (Put Ya ...,2000-01-15,95,68.0,65.0,65.0,74.0,84.0,92.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Hey Papi,2000-08-12,98,100.0,98.0,94.0,83.0,83.0,80.0,78.0,76.0,77.0,85.0,91.0,93.0,88.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,I Just Wanna Love U ...,2000-10-28,58,45.0,35.0,26.0,23.0,19.0,14.0,14.0,13.0,11.0,12.0,12.0,12.0,15.0,15.0,19.0,24.0,28.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean, Wyclef",911,2000-10-07,77,74.0,64.0,61.0,53.0,48.0,43.0,38.0,42.0,38.0,44.0,49.0,53.0,61.0,66.0,68.0,80.0,85.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,I Wanna Know,2000-01-01,94,86.0,69.0,50.0,41.0,33.0,32.0,28.0,28.0,27.0,27.0,25.0,23.0,20.0,17.0,15.0,14.0,11.0,11.0,14.0,11.0,11.0,10.0,12.0,10.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,9.0,9.0,8.0,14.0,16.0,20.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Treat Her Like A Lad...,2000-08-05,77,75.0,63.0,63.0,69.0,64.0,68.0,67.0,72.0,79.0,78.0,84.0,85.0,90.0,89.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John, Elton",Someday Out Of The B...,2000-04-22,56,56.0,49.0,59.0,67.0,60.0,64.0,73.0,81.0,90.0,93.0,89.0,98.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Donell",Where I Wanna Be,2000-04-22,81,71.0,65.0,50.0,41.0,41.0,36.0,41.0,38.0,35.0,33.0,29.0,36.0,34.0,34.0,40.0,42.0,49.0,55.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, Montell",Get It On.. Tonite,1999-10-23,92,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juvenile,U Understand,2000-02-05,85,83.0,100.0,98.0,97.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
